,user_id,user_name,age,music_fan,favorite genre,favorite artist,favorite songs,streams,is_subscribed,week
0,0,Peter Miller,32,True,Rock,[],[],{},False,0
1,1,April Escobar,39,True,Pop,[],[],{},False,0
2,2,Nicole Valencia,38,True,Rock,[],[],{},False,0
3,3,Amy Burton,23,False,Rock,[],[],{},False,0
4,4,Joseph Davies,32,False,Rock,[],[],{},False,0
5,5,Lindsay Wilkinson,34,False,Pop,[],[],{},False,0
6,6,Cassandra Powell,29,True,Hip-hop,[],[],{},False,0
7,7,Emily Dominguez,30,False,Alternative,[],[],{},False,0
8,8,Mrs. Janice Goodwin,28,False,Rock,[],[],{},False,0
9,9,Timothy Jackson,23,False,Alternative,[],[],{},False,0
10,10,Jerry Collins,33,True,Alternative,[],[],{},False,0
11,11,Jessica Davis,23,True,Blues,[],[],{},False,0
12,12,Rebecca Rivers,30,False,Alternative,[],[],{},False,0
13,13,Brittney Craig,25,True,Hip-hop,[],[],{},False,0
14,14,Michael Merritt,22,True,Rock,[],[],{},False,0
15,15,Alex Lee,47,False,Alternative,[],[],{},False,0
16,16,Nicholas Braun,38,False,Alternative,[],[],{},False,0
17,17,Mr. Paul Smith,28,False,Rock,[],[],{},False,0
18,18,Melanie Brown,29,True,Rock,[],[],{},False,0
19,19,Lori Mendoza,30,True,Blues,[],[],{},False,1
20,20,Amanda Ruiz,35,True,Electronic,[],[],{},False,1
21,21,Johnny Hayden,33,False,Pop,[],[],{},False,1
22,22,Linda Kelly,34,True,Electronic,[],[],{},False,1
23,23,Alexandra Mitchell,33,True,Blues,[],[],{},False,1
24,24,Christine Wilson,23,False,Blues,[],[],{},False,1
25,25,Steven Welch,37,True,Electronic,[],[],{},False,1
26,26,Andrew Jackson,21,False,Rock,[],[],{},False,1
27,27,Lisa Mccormick DVM,22,False,Alternative,[],[],{},False,1
28,28,Scott Simmons,30,False,Rock,[],[],{},True,1
29,29,John Velazquez,30,True,Pop,[],[],{},False,1
30,30,Bridget Walsh,34,True,Rock,[],[],{},True,1
31,31,Natalie Strickland,26,True,Rock,[],[],{},False,1
